Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z
2019-02-21 23:45:31.275,0.133,0.309,0.938
2019-02-21 23:45:31.288,0.129,0.309,0.934
2019-02-21 23:45:31.300,0.133,0.309,0.930
2019-02-21 23:45:31.313,0.133,0.309,0.938
2019-02-21 23:45:31.325,0.133,0.305,0.934
2019-02-21 23:45:31.338,0.133,0.305,0.926
2019-02-21 23:45:31.350,0.129,0.305,0.930
2019-02-21 23:45:31.363,0.129,0.305,0.934
2019-02-21 23:45:31.375,0.129,0.309,0.938
2019-02-21 23:45:31.388,0.129,0.309,0.938
2019-02-21 23:45:31.400,0.133,0.309,0.938
2019-02-21 23:45:31.413,0.133,0.305,0.941
2019-02-21 23:45:31.425,0.129,0.305,0.938
2019-02-21 23:45:31.438,0.129,0.305,0.938
2019-02-21 23:45:31.450,0.129,0.305,0.934
2019-02-21 23:45:31.463,0.133,0.305,0.945
2019-02-21 23:45:31.475,0.129,0.305,0.941
2019-02-21 23:45:31.488,0.129,0.309,0.941
2019-02-21 23:45:31.500,0.125,0.320,0.941
2019-02-21 23:45:31.513,0.129,0.309,0.934
2019-02-21 23:45:31.525,0.133,0.309,0.934
2019-02-21 23:45:31.538,0.125,0.309,0.938
2019-02-21 23:45:31.550,0.125,0.305,0.930
2019-02-21 23:45:31.563,0.125,0.301,0.930
2019-02-21 23:45:31.575,0.125,0.301,0.930
2019-02-21 23:45:31.588,0.129,0.309,0.938
2019-02-21 23:45:31.600,0.133,0.309,0.930
2019-02-21 23:45:31.613,0.137,0.309,0.934
2019-02-21 23:45:31.625,0.129,0.301,0.941
2019-02-21 23:45:31.638,0.129,0.301,0.938
2019-02-21 23:45:31.650,0.133,0.305,0.941
2019-02-21 23:45:31.663,0.133,0.305,0.941
2019-02-21 23:45:31.675,0.133,0.309,0.941
2019-02-21 23:45:31.688,0.133,0.316,0.938
2019-02-21 23:45:31.700,0.133,0.320,0.934
2019-02-21 23:45:31.713,0.121,0.324,0.926
2019-02-21 23:45:31.725,0.117,0.313,0.926
2019-02-21 23:45:31.738,0.125,0.313,0.926
2019-02-21 23:45:31.750,0.133,0.305,0.930
2019-02-21 23:45:31.763,0.133,0.297,0.938
2019-02-21 23:45:31.775,0.133,0.293,0.941
2019-02-21 23:45:31.788,0.129,0.293,0.941
2019-02-21 23:45:31.800,0.129,0.297,0.941
2019-02-21 23:45:31.813,0.125,0.301,0.934
2019-02-21 23:45:31.825,0.125,0.305,0.930
2019-02-21 23:45:31.838,0.125,0.309,0.930
2019-02-21 23:45:31.850,0.129,0.316,0.926
2019-02-21 23:45:31.863,0.133,0.320,0.934
2019-02-21 23:45:31.875,0.133,0.320,0.934
2019-02-21 23:45:31.888,0.137,0.313,0.938
2019-02-21 23:45:31.900,0.133,0.309,0.934
2019-02-21 23:45:31.913,0.125,0.305,0.930
2019-02-21 23:45:31.925,0.117,0.309,0.930
2019-02-21 23:45:31.938,0.121,0.309,0.926
2019-02-21 23:45:31.950,0.125,0.305,0.926
2019-02-21 23:45:31.963,0.133,0.305,0.938
2019-02-21 23:45:31.975,0.133,0.301,0.938
2019-02-21 23:45:31.988,0.133,0.305,0.938
2019-02-21 23:45:32.000,0.121,0.305,0.941
2019-02-21 23:45:32.013,0.125,0.309,0.938
2019-02-21 23:45:32.025,0.129,0.309,0.934
2019-02-21 23:45:32.038,0.125,0.309,0.930
2019-02-21 23:45:32.050,0.133,0.316,0.934
2019-02-21 23:45:32.063,0.133,0.313,0.930
2019-02-21 23:45:32.075,0.133,0.309,0.938
2019-02-21 23:45:32.088,0.129,0.309,0.938
2019-02-21 23:45:32.100,0.125,0.305,0.941
2019-02-21 23:45:32.113,0.129,0.305,0.938
2019-02-21 23:45:32.125,0.129,0.309,0.934
2019-02-21 23:45:32.138,0.133,0.309,0.930
2019-02-21 23:45:32.150,0.133,0.309,0.938
2019-02-21 23:45:32.163,0.125,0.309,0.938
2019-02-21 23:45:32.175,0.125,0.309,0.938
2019-02-21 23:45:32.188,0.129,0.313,0.938
2019-02-21 23:45:32.200,0.129,0.309,0.938
2019-02-21 23:45:32.213,0.133,0.309,0.941
2019-02-21 23:45:32.225,0.133,0.309,0.938
2019-02-21 23:45:32.238,0.129,0.309,0.934
2019-02-21 23:45:32.250,0.129,0.309,0.934
2019-02-21 23:45:32.263,0.129,0.305,0.934
2019-02-21 23:45:32.275,0.129,0.309,0.930
2019-02-21 23:45:32.288,0.125,0.309,0.930
2019-02-21 23:45:32.300,0.125,0.305,0.934
2019-02-21 23:45:32.313,0.129,0.309,0.938
2019-02-21 23:45:32.325,0.129,0.309,0.941
2019-02-21 23:45:32.338,0.129,0.305,0.938
2019-02-21 23:45:32.350,0.133,0.309,0.941
2019-02-21 23:45:32.363,0.129,0.309,0.934
2019-02-21 23:45:32.375,0.129,0.309,0.938
2019-02-21 23:45:32.388,0.129,0.309,0.934
2019-02-21 23:45:32.400,0.125,0.313,0.934
2019-02-21 23:45:32.413,0.129,0.309,0.930
2019-02-21 23:45:32.425,0.125,0.309,0.930
2019-02-21 23:45:32.438,0.129,0.309,0.938
2019-02-21 23:45:32.450,0.125,0.309,0.930
2019-02-21 23:45:32.463,0.125,0.309,0.930
2019-02-21 23:45:32.475,0.125,0.305,0.926
2019-02-21 23:45:32.488,0.129,0.309,0.934
2019-02-21 23:45:32.500,0.121,0.313,0.930
2019-02-21 23:45:32.513,0.121,0.305,0.934
2019-02-21 23:45:32.525,0.125,0.313,0.930
2019-02-21 23:45:32.538,0.129,0.313,0.930
2019-02-21 23:45:32.550,0.129,0.313,0.934
2019-02-21 23:45:32.563,0.125,0.313,0.938
2019-02-21 23:45:32.575,0.129,0.309,0.926
2019-02-21 23:45:32.588,0.133,0.309,0.930
2019-02-21 23:45:32.600,0.125,0.305,0.938
2019-02-21 23:45:32.613,0.129,0.309,0.934
2019-02-21 23:45:32.625,0.137,0.309,0.930
2019-02-21 23:45:32.638,0.133,0.309,0.926
2019-02-21 23:45:32.650,0.125,0.309,0.930
2019-02-21 23:45:32.663,0.129,0.305,0.938
2019-02-21 23:45:32.675,0.133,0.301,0.938
2019-02-21 23:45:32.688,0.133,0.305,0.945
2019-02-21 23:45:32.700,0.125,0.309,0.945
2019-02-21 23:45:32.713,0.125,0.313,0.934
2019-02-21 23:45:32.725,0.125,0.320,0.930
2019-02-21 23:45:32.738,0.121,0.328,0.930
2019-02-21 23:45:32.750,0.121,0.328,0.926
2019-02-21 23:45:32.763,0.121,0.320,0.922
2019-02-21 23:45:32.775,0.125,0.313,0.930
2019-02-21 23:45:32.788,0.133,0.309,0.938
2019-02-21 23:45:32.800,0.129,0.309,0.930
2019-02-21 23:45:32.813,0.129,0.301,0.934
2019-02-21 23:45:32.825,0.129,0.301,0.930
2019-02-21 23:45:32.838,0.129,0.305,0.938
2019-02-21 23:45:32.850,0.129,0.313,0.934
2019-02-21 23:45:32.863,0.129,0.313,0.938
2019-02-21 23:45:32.875,0.129,0.320,0.941
2019-02-21 23:45:32.888,0.125,0.320,0.941
2019-02-21 23:45:32.900,0.129,0.320,0.934
2019-02-21 23:45:32.913,0.125,0.316,0.930
2019-02-21 23:45:32.925,0.129,0.320,0.938
2019-02-21 23:45:32.938,0.129,0.316,0.930
2019-02-21 23:45:32.950,0.125,0.313,0.930
2019-02-21 23:45:32.963,0.125,0.316,0.930
2019-02-21 23:45:32.975,0.129,0.313,0.934
2019-02-21 23:45:32.988,0.121,0.309,0.938
2019-02-21 23:45:33.000,0.113,0.313,0.938
2019-02-21 23:45:33.013,0.129,0.305,0.941
2019-02-21 23:45:33.025,0.129,0.313,0.934
2019-02-21 23:45:33.038,0.125,0.309,0.938
2019-02-21 23:45:33.050,0.125,0.309,0.938
2019-02-21 23:45:33.063,0.125,0.316,0.938
2019-02-21 23:45:33.075,0.129,0.320,0.930
2019-02-21 23:45:33.088,0.129,0.316,0.926
2019-02-21 23:45:33.100,0.129,0.309,0.934
2019-02-21 23:45:33.113,0.129,0.309,0.934
2019-02-21 23:45:33.125,0.129,0.305,0.934
2019-02-21 23:45:33.138,0.125,0.309,0.934
2019-02-21 23:45:33.150,0.117,0.309,0.934
2019-02-21 23:45:33.163,0.121,0.313,0.934
